Retail Type,Sales,Year,Category
Motor vehicle and parts dealers,1534486100000,2021,Auto
Automobile and other motor vehicle dealers,1421860360000,2021,Auto
Automobile dealers,1305594940000,2021,Auto
New car dealers,1126560280000,2021,Auto
Used car dealers,179034660000,2021,Auto
"Automotive parts, acc., and tire stores",112625740000,2021,Auto
"Furniture, home furn, electronics, and appliance stores",239202540000,2021,Electronics/Home/Furniture
Furniture and home furnishings stores,145578900000,2021,Electronics/Home/Furniture
Furniture stores,79859020000,2021,Electronics/Home/Furniture
Electronics and appliance stores,93623640000,2021,Electronics/Home/Furniture
Household appliance stores,21617140000,2021,Electronics/Home/Furniture
Electronics stores,72006500000,2021,Electronics/Home/Furniture
Building mat. and garden equip. and supplies dealers,484875280000,2021,Home/Garden/Hardware
Building mat. and supplies dealers,422499760000,2021,Home/Garden/Hardware
Paint and wallpaper stores,14302560000,2021,Home/Garden/Hardware
Hardware stores,34405220000,2021,Home/Garden/Hardware
Food and beverage stores,895046800000,2021,Food/Beverage
Grocery stores,799307620000,2021,Food/Beverage
Supermarkets and other grocery (except convenience) stores,762208080000,2021,Food/Beverage
"Beer, wine, and liquor stores",69161060000,2021,Food/Beverage
Health and personal care stores,377753400000,2021,Health/Drugs/Pharmacy
Pharmacies and drug stores,320827060000,2021,Health/Drugs/Pharmacy
Gasoline stations,590426180000,2021,Auto
Clothing and clothing access. stores,287933900000,2021,Clothing/Fashion
Clothing stores,195186080000,2021,Clothing/Fashion
Family clothing stores,113978160000,2021,Clothing/Fashion
Other clothing stores,18005860000,2021,Clothing/Fashion
Shoe stores,38067200000,2021,Clothing/Fashion
Jewelry stores,37791967121,2021,Luxury
"Sporting goods, hobby, musical instrument, and book stores",107098080000,2021,Sporting/Outdoors/Games
Sporting goods stores,64897620000,2021,Sporting/Outdoors/Games
"Hobby, toy, and game stores",23264400000,2021,Sporting/Outdoors/Games
Book stores,8608260000,2021,Merchandise
General merchandise stores,812457580000,2021,Merchandise
Department stores,132762100000,2021,Department
Department stores(excl. discount department stores),32579800000,2021,Department
Discount dept. stores,100182300000,2021,Department
Other general merchandise stores,679695480000,2021,Merchandise
Warehouse clubs and superstores,585950660000,2021,Department
All other gen. merchandise stores,93744820000,2021,Merchandise
Miscellaneous store retailers,167152100000,2021,Merchandise
"Office supplies, stationery, and gift stores",28124960000,2021,Office
Office supplies and stationery stores,10037380000,2021,Office
"Gift, novelty, and souvenir stores",18087580000,2021,Merchandise
Used merchandise stores,20263320000,2021,Merchandise
Nonstore retailers,1028240640000,2021,Other
Electronic shopping and mail-order houses,924461880000,2021,Other
Fuel dealers,35568440000,2021,Auto
Food services and drinking places,820810060000,2021,Food Services
Restaurants and other eating places,744298020000,2021,Food Services
Limited service eating places,389232680000,2021,Food Services
Motor vehicle and parts dealers,1240000000000,2020,Auto
Automobile and other motor vehicle dealers,1150000000000,2020,Auto
Automobile dealers,1060000000000,2020,Auto
New car dealers,931000000000,2020,Auto
Used car dealers,125000000000,2020,Auto
"Automotive parts, acc., and tire stores",98294000000,2020,Auto
