Retail Sales,Month,Year
517119000000,Jan,2021
490646000000,Feb,2021
633078000000,Mar,2021
625527000000,Apr,2021
643099000000,May,2021
635437000000,Jun,2021
634486000000,Jul,2021
631415000000,Aug,2021
607540000000,Sep,2021
634076000000,Oct,2021
649933000000,Nov,2021
662042150000,Dec,2021
480301000000,Jan,2020
478467000000,Feb,2020
478267000000,Mar,2020
407227000000,Apr,2020
504607000000,May,2020
532678000000,Jun,2020
549416000000,Jul,2020
545307000000,Aug,2020
530987000000,Sep,2020
553114000000,Oct,2020
543273000000,Nov,2020
611429000000,Dec,2020
456538000000,Jan,2019
442274000000,Feb,2019
513845000000,Mar,2019
506920000000,Apr,2019
544203000000,May,2019
515269000000,Jun,2019
528710000000,Jul,2019
541951000000,Aug,2019
493076000000,Sep,2019
522195000000,Oct,2019
532130000000,Nov,2019
587471000000,Dec,2019
444286000000,Jan,2018
435373000000,Feb,2018
508383000000,Mar,2018
480373000000,Apr,2018
527991000000,May,2018
507106000000,Jun,2018
505209000000,Jul,2018
520544000000,Aug,2018
477137000000,Sep,2018
503602000000,Oct,2018
518457000000,Nov,2018
556614000000,Dec,2018
421943000000,Jan,2017
418315000000,Feb,2017
483082000000,Mar,2017
465788000000,Apr,2017
494621000000,May,2017
481729000000,Jun,2017
475374000000,Jul,2017
490324000000,Aug,2017
469710000000,Sep,2017
476014000000,Oct,2017
497748000000,Nov,2017
558215000000,Dec,2017
